date,varclose,varavg,varmax,corrloss,varmedian,varmode,lossclose,lossavg,lossmax,corrvar,lossmedian,lossmode
jan-23,-2139.9422538399053,-4114.952976933774,-10324.052200884731,NO LOSS,-3548.7992580962,-38.46896287730745,-2.5,-26.94892051030602,-1857.6000000000931,-2114.228187024732,-10.0,-5.0
jan-24,-1933.2825327495812,-2586.877459046321,-2914.795623549687,NO LOSS,-2694.1171456985703,-2143.4021412294555,-5.0,-24.778777557593017,-1230.0,-2290.4649617252694,-10.0,-5.0
jan-25,-2111.7888230479575,-2576.1560334859764,-2963.960649415789,NO LOSS,-2630.0835263548106,-1933.4045623415273,-25.0,-25.99430699015234,-984.6499999999069,-1973.0417420643041,-11.5,-5.0
jan-26,-2492.731163631356,-3260.166828656037,-3753.1714279572643,NO LOSS,-3442.0765243570904,-2134.223511135953,-5.0,-32.847146118722804,-2910.25,-2163.499108287443,-12.5,-5.0
jan-27,-2497.8913036555828,-3460.4477833808396,-4084.613103098648,NO LOSS,-3708.0512498030166,-2466.297493100575,-35.0,-34.70407229198604,-2930.0,-2599.9873267335306,-11.600000000093132,-5.0
jan-30,-2237.5993850083005,-3561.8549318403375,-4199.231581199733,NO LOSS,-4022.7480018694046,-2496.6773650040764,-7.5,-35.89196007259717,-8594.950000000186,-2494.1042238352056,-12.5,-5.0
jan-31,-2277.410678882711,-3227.1404778180777,-3728.1355432819946,-40.0,-3400.9007008912295,-2237.5686548619933,-20.0,-31.548567175290408,-2765.0,-2267.590618107078,-12.5,-5.0
feb-1,-2648.254010394241,-3509.5793375369735,-3954.68827984827,NO LOSS,-3800.516916858809,-2277.7760996018515,-7.5,-33.70743923398037,-2105.0,-2277.3750585973685,-15.0,-5.0
feb-2,-2552.7391775828514,-3160.3564469596527,-3493.0416585233393,NO LOSS,-3297.861386134909,-2678.548771503581,-7.5,-30.482840198955046,-1515.0,-2681.7354548409976,-15.0,-5.0
feb-3,-2404.762625119797,-2870.839368347971,-3143.771182601257,NO LOSS,-2985.6504304298705,-2377.6759914002673,-375.0,-29.958797800551892,-4000.0,-2355.3903050192484,-11.25,-5.0
