VaR,Loss
-4863.196,60851.150
-4940.613,60923.650
-4940.623,60623.650
-5240.355,60617.450
-5246.551,60814.050
-5246.442,60699.050
-5361.214,60665.950
-5394.322,59940.950
-6118.589,44430.950
-6143.569,44414.650
-6159.852,44294.650
-6280.311,44116.800
-6458.528,44156.800
-6458.453,44267.300
-6458.445,44247.300
-6478.438,44372.300
-6478.575,44797.300
-6478.932,44937.300
-6479.025,48103.650
-6485.187,52023.650
-6494.003,52143.650
-6493.911,52024.000
-6613.435,52044.000
-6613.392,51982.500
-6674.877,52127.500
-6675.126,52122.500
-6680.126,52033.600
-6769.060,51963.600
-6839.021,52022.800
-6838.906,51157.850
-7701.518,51037.350
-7821.820,51202.350
-7821.671,51124.850
-7899.185,51134.850
-7899.122,51284.850
-7899.105,51174.850
-8008.835,51164.850
-8018.844,50934.850
-8248.566,50774.850
-8408.603,50761.750
-8421.711,50639.250
-8544.057,50604.250
-8578.990,50554.250
-8628.691,50389.250
-8793.827,22029.250
-8913.572,4.250
-8908.572,206.750
-8909.005,519.550
-8909.404,545.650
-8909.376,739.650
-8909.589,694.800
-8954.395,812.300
-8954.638,1134.800
-8954.926,1229.400
-8954.950,1421.400
-8955.214,1626.400
-8955.318,1651.400
-8955.324,2716.400
-8957.090,2751.400
-8957.106,2824.700
-8957.141,2804.700
-8977.179,2802.900
-8978.979,2787.900
-8978.849,2675.400
-8980.849,2680.400
-8980.837,2500.400
-9035.450,2240.400
-9034.380,2150.400
-9034.194,159.550
-9032.913,-1947.950
-9029.780,-1848.900
-9029.909,-1783.900
-9030.007,-1693.900
-9030.116,-1813.900
-9029.967,-1828.900
-9044.965,-1728.900
-9045.167,-1723.900
-9045.068,-1568.500
-9045.227,206.500
-9051.432,612.500
-9052.130,202.500
-9297.201,227.500
-9297.183,-280.000
-9654.367,-90.000
-9654.596,-95.000
-9659.599,275.000
-9660.001,343.750
-9659.980,354.050
-9659.978,394.050
-9659.784,451.550
-9659.758,656.550
-9659.271,780.450
-9659.365,835.450
-9659.088,825.450
-9669.088,730.950
-9669.022,697.350
-9669.323,799.300
-9669.466,699.300
-9669.518,819.000
-9669.586,716.500
-9669.625,601.500
-9669.590,525.500
-9669.563,644.850
-9670.058,719.850
-9670.388,714.850
-9670.391,184.850
-9670.424,184.850
-9670.440,209.300
-9670.505,164.300
-9715.551,276.950
-9715.563,509.450
-9715.963,409.450
-9810.854,611.950
-9811.207,544.450
-9809.765,684.450
-9810.012,314.900
-9807.349,189.900
-9803.508,185.900
-9803.616,130.900
-9803.594,90.900
-9803.623,103.400
-9803.516,93.400
-9813.510,5.900
-9813.418,35.900
-9813.393,-274.100
-9908.518,-1934.100
-9904.473,-2170.700
-9904.525,-2205.700
-9914.522,-2195.700
-9914.491,-1800.700
-9914.599,-1850.700
-9914.620,-1835.700
-9914.604,-1840.700
-9914.993,-1683.200
-9915.505,-1705.700
-9927.704,-1455.700
-9928.319,-1420.700
-9928.384,-1000.700
-9930.621,-981.000
-9930.740,-924.750
-9930.702,-909.750
-9930.705,-751.850
-9931.474,-890.550
-9931.372,-960.550
-9931.397,-1063.050
-9939.617,-1210.400
-9967.153,-1195.400
-9967.222,-1192.900
-9967.194,-1313.650
-10069.217,-1706.900
-10068.949,-1806.900
-10068.979,-1846.900
-10088.955,-1806.950
-10089.118,-1849.450
-10096.572,-2012.350
-10161.484,-1997.350
-10161.472,-2105.850
-10161.472,-2045.850
-10161.565,-2150.850
-10161.608,-2035.850
-10161.587,-2110.850
-10161.517,-1775.850
-10161.915,-1915.850
-10161.730,-2398.600
-10157.262,-2726.100
-10151.564,-2803.600
-10151.312,-2833.950
-10151.259,-2828.950
-10151.248,-2863.950
-10151.209,-2853.950
-10151.134,-2858.950
-10156.130,-2858.950
-10156.038,-2868.950
-10155.989,-2593.950
-10156.160,-2008.950
-10155.727,-2211.750
-10188.276,-1614.250
-10188.820,-1579.250
-10188.798,-1446.750
-10189.166,-1376.750
-10189.477,-1439.250
-10236.979,-1644.250
-10236.836,-1855.400
-10236.633,-1887.900
-10269.070,-2052.900
-10269.151,-2152.900
-10276.591,-2832.900
-10329.448,-3001.500
-10354.197,-2954.000
-10354.362,-2999.000
-10384.332,-3224.800
-10383.907,-3184.800
-10383.921,-3179.800
-10383.955,-3149.800
-10383.882,-3159.800
-10383.932,-3159.800
-10383.903,-3033.300
-10383.840,-2993.550
-10383.649,-3081.050
-10383.417,-3106.050
-10408.377,-3785.800
-10510.838,-3735.800
-10510.875,-3654.350
-10510.789,-3759.350
-10600.728,-3773.850
-10611.064,-3793.850
-10611.083,-3828.850
-10611.006,-3783.850
-10611.078,-3781.350
-10611.490,-3716.350
-10611.506,-3188.600
-10609.011,-2971.750
-10604.542,-2966.750
-10604.301,-2972.200
-10604.219,-3037.200
-10634.107,-3072.200
-10653.957,-3019.700
-10654.057,-2967.200
-10654.078,-2942.200
-10654.069,-3097.200
-10653.758,-2892.200
-10654.592,-2709.100
-10654.589,-3009.100
-10654.755,-3019.100
-10654.711,-3234.100
-10654.657,-3319.100
-10654.615,-3324.100
-10659.609,-3339.100
-10659.427,-3270.600
-10659.456,-3225.600
-10659.464,-3270.600
-10659.399,-3185.600
-10659.428,-2610.600
-10661.292,-2518.100
-10661.325,-2521.850
-10661.474,-2511.850
-10661.435,-2486.450
-10661.144,-2424.150
-10661.339,-2474.150
-10661.289,-2419.150
-10661.316,-2509.150
-10661.187,-2529.150
-10661.103,-2794.900
-10800.044,-3085.100
-10935.269,-3010.100
-10935.261,-2895.100
-10935.386,-1967.950
-10936.552,-1965.450
-10936.595,-1949.150
-10936.558,-1749.150
-10936.812,-1794.150
-10981.771,-1794.150
-10981.790,-1831.650
-10981.586,-1878.050
-10981.562,-1870.550
-10981.534,-1940.550
-10981.561,-2000.550
-10981.392,-2866.050
-11000.612,-3704.750
-10991.388,-3722.250
-10991.111,-3756.350
-10990.849,-3716.350
-10990.802,-3786.350
-11008.262,-3766.350
-11008.321,-3771.350
-11008.259,-3681.350
-11008.228,-4166.350
-11006.067,-4244.750
-11005.803,-4417.250
-11005.753,-4372.250
-11005.809,-4347.250
-11005.856,-4529.750
-11005.444,-4444.750
-11005.755,-4422.250
-11005.735,-4462.250
-11005.450,-4460.850
