VaR,Loss
-7178.151,694.800
-7123.281,812.300
-7212.054,1134.800
-7328.411,1229.400
-7381.112,1421.400
-7565.855,1626.400
-7621.990,1651.400
-7610.885,2716.400
-7825.167,2751.400
-7834.160,2824.700
-7883.800,2804.700
-7898.176,2802.900
-7818.409,2787.900
-7773.743,2675.400
-7710.172,2680.400
-7694.309,2500.400
-7559.183,2240.400
-7648.151,2150.400
-7671.275,159.550
-6694.427,-1947.950
-5835.746,-1848.900
-5819.078,-1783.900
-5883.435,-1693.900
-5888.838,-1813.900
-5842.783,-1828.900
-5838.608,-1728.900
-5925.422,-1723.900
-5904.416,-1568.500
-5950.196,206.500
-6769.907,612.500
-6889.303,202.500
-6812.667,227.500
-6800.827,-280.000
-6804.755,-90.000
-6902.289,-95.000
-6896.396,275.000
-7039.937,343.750
-7101.811,354.050
-7117.275,394.050
-7141.258,451.550
-7231.859,656.550
-7255.804,780.450
-7328.033,835.450
-7410.335,825.450
-7408.467,730.950
-7429.633,697.350
-7426.624,799.300
-7406.753,699.300
-7446.138,819.000
-7455.701,716.500
-7482.483,601.500
-7663.348,525.500
-7564.741,644.850
-7584.204,719.850
-7741.590,714.850
-7737.516,184.850
-7491.369,184.850
-7491.746,209.300
-7478.483,164.300
-7523.488,276.950
-7514.165,509.450
-7458.837,409.450
-7482.630,611.950
-7504.139,544.450
-7524.084,684.450
-7381.673,314.900
-6660.996,189.900
-5378.460,185.900
-5366.168,130.900
-5379.611,90.900
-5339.729,103.400
-5316.766,93.400
-5306.201,5.900
-5313.789,35.900
-5298.088,-274.100
-5235.898,-1934.100
-4614.586,-2170.700
-4667.403,-2205.700
-4639.426,-2195.700
-4660.489,-1800.700
-4706.216,-1850.700
-4688.215,-1835.700
-4678.041,-1840.700
-4682.514,-1683.200
-4786.159,-1705.700
-4795.151,-1455.700
-4805.662,-1420.700
-4762.695,-1000.700
-5076.693,-981.000
-5047.933,-924.750
-5135.154,-909.750
-5131.346,-751.850
-5128.593,-890.550
-5270.451,-960.550
-5222.831,-1063.050
-5191.001,-1210.400
-5219.595,-1195.400
-5205.918,-1192.900
-5057.511,-1313.650
-5127.441,-1706.900
-4988.891,-1806.900
-4993.037,-1846.900
-5017.070,-1806.950
-5082.951,-1849.450
-5112.696,-2012.350
-5101.517,-1997.350
-5071.313,-2105.850
-5103.325,-2045.850
-5143.734,-2150.850
-5141.424,-2035.850
-5166.648,-2110.850
-5139.571,-1775.850
-5151.637,-1915.850
-5089.376,-2398.600
-4944.517,-2726.100
-4912.694,-2803.600
-4873.907,-2833.950
-4838.341,-2828.950
-4835.125,-2863.950
-4856.072,-2853.950
-4838.247,-2858.950
-4815.077,-2858.950
-4787.549,-2868.950
-4832.427,-2593.950
-4773.770,-2008.950
-4425.063,-2211.750
-4211.143,-1614.250
-4215.569,-1579.250
-4276.343,-1446.750
-4255.887,-1376.750
-4237.918,-1439.250
-4219.835,-1644.250
-4291.622,-1855.400
-4216.974,-1887.900
-4241.523,-2052.900
-4213.077,-2152.900
-4209.347,-2832.900
-4009.802,-3001.500
-4002.555,-2954.000
-4044.015,-2999.000
-4057.384,-3224.800
-3975.518,-3184.800
-4021.287,-3179.800
-4046.305,-3149.800
-3994.872,-3159.800
-3972.970,-3159.800
-4054.658,-3033.300
-4079.490,-2993.550
-3986.999,-3081.050
-3946.337,-3106.050
-3911.035,-3785.800
-3818.995,-3735.800
-3798.524,-3654.350
-3816.859,-3759.350
-3759.812,-3773.850
-3829.786,-3793.850
-3844.016,-3828.850
-3757.651,-3783.850
-3815.845,-3781.350
-3809.957,-3716.350
-3802.031,-3188.600
-3539.553,-2971.750
-3747.380,-2966.750
-3771.437,-2972.200
-3678.199,-3037.200
-3669.639,-3072.200
-3649.643,-3019.700
-3665.475,-2967.200
-3688.866,-2942.200
-3752.574,-3097.200
-3704.007,-2892.200
-3794.555,-2709.100
-3984.100,-3009.100
-4013.488,-3019.100
-4013.172,-3234.100
-3948.142,-3319.100
-3894.117,-3324.100
-3871.327,-3339.100
-3891.604,-3270.600
-3841.370,-3225.600
-3843.936,-3270.600
-3866.063,-3185.600
-3890.990,-2610.600
-3945.874,-2518.100
-3994.178,-2521.850
-4017.742,-2511.850
-3981.485,-2486.450
-4033.918,-2424.150
-3964.883,-2474.150
-3938.909,-2419.150
-3984.527,-2509.150
-4021.569,-2529.150
-4009.421,-2794.900
-4010.938,-3085.100
-3779.980,-3010.100
-3797.898,-2895.100
-3817.579,-1967.950
-3684.906,-1965.450
-3650.882,-1949.150
-3666.586,-1749.150
-3605.885,-1794.150
-3562.377,-1794.150
-3597.717,-1831.650
-3566.241,-1878.050
-3573.578,-1870.550
-3563.191,-1940.550
-3560.970,-2000.550
-3536.810,-2866.050
-3160.884,-3704.750
-3155.708,-3722.250
-3162.454,-3756.350
-3216.663,-3716.350
-3306.130,-3786.350
-3288.900,-3766.350
-3281.788,-3771.350
-3263.175,-3681.350
-3197.434,-4166.350
-3051.861,-4244.750
-3007.310,-4417.250
-3125.239,-4372.250
-3093.697,-4347.250
-3099.783,-4529.750
-3158.244,-4444.750
-3185.836,-4422.250
-3205.805,-4462.250
-3307.593,-4460.850
-3310.053,-4473.350
-3327.738,-4458.350
-3285.984,-4423.350
-3352.863,-4808.350
-3370.393,-4830.850
-3566.402,-4910.850
-3496.297,-4870.850
-3507.373,-4930.850
-3606.845,-4979.950
-3699.239,-5049.950
-3750.962,-5122.450
-3677.051,-4979.950
-3774.634,-4939.950
-3907.840,-4884.950
-3847.080,-4509.950
-3944.329,-4126.100
-3804.722,-4128.600
-3838.645,-4208.600
-3847.273,-4705.950
-4025.259,-4743.450
-4007.479,-4735.350
-3982.465,-4837.850
-4079.463,-4797.850
-3991.803,-4807.850
-4005.728,-4812.850
-4048.413,-4785.050
-4067.817,-4745.050
-4044.158,-4770.050
-3949.220,-4695.050
-3994.898,-3697.800
-4024.281,-2905.950
-3741.819,-2975.900
-3778.641,-2931.350
-3781.023,-2966.350
-3829.049,-3031.350
-3809.029,-3066.350
-3735.003,-3031.350
-3728.931,-3038.900
