VaR,Loss
1599.572,136809.500
1632.571,136861.950
1657.868,136616.950
1522.163,136541.950
1479.123,136064.450
1204.682,136001.050
1168.264,135706.550
999.347,135721.550
1007.949,135802.800
1054.641,135772.800
1037.423,135937.800
1132.160,135947.800
1137.907,135882.100
1100.200,135979.600
1156.142,135933.150
1129.479,136153.150
1255.513,136024.050
1181.489,136471.550
1438.437,136710.050
1575.477,136475.050
1440.822,136550.050
1483.833,136485.050
1446.494,136430.050
1414.887,136525.050
1469.395,136610.050
1518.140,136570.050
1495.247,136610.050
1518.178,136794.550
1623.925,136334.550
1360.528,136393.450
1394.305,136086.950
1218.755,136128.150
1242.479,134763.000
457.979,134673.000
406.295,134818.000
489.496,134893.000
532.521,134878.000
523.914,134918.000
546.859,135023.000
607.387,134963.000
572.930,134863.000
515.746,134778.000
466.947,134878.000
524.215,134823.000
492.638,134793.000
491.043,134843.000
491.885,134763.000
470.511,134745.500
453.631,134721.600
455.284,134654.550
441.498,134773.550
440.360,134978.550
496.856,134703.550
319.066,134705.250
308.323,134925.250
334.265,134971.900
353.422,134886.900
337.709,134966.900
360.724,134816.900
336.837,134836.900
345.731,134910.250
360.024,134872.750
363.991,134887.750
407.501,135017.950
430.043,134653.950
381.573,134334.450
310.751,134539.450
341.886,134479.450
333.896,134514.450
334.786,134359.450
296.347,134389.450
299.951,134374.450
301.746,134420.450
350.974,133615.500
-30.560,133571.050
-36.376,133880.650
23.974,133773.250
-9.582,133693.250
-54.287,134198.250
-123.031,134118.250
-171.806,133988.250
-194.386,133923.250
-205.193,133865.750
-230.796,133845.750
-230.794,133680.750
-275.400,133685.750
-285.311,133815.750
-253.710,133881.750
-244.420,133903.000
-216.400,133898.000
-229.199,133763.000
-264.316,133738.000
-270.282,133617.300
-312.513,133612.300
-322.556,133667.850
-315.106,133797.350
-282.105,133457.350
-341.983,133392.350
-453.340,133387.350
-460.351,133587.350
-391.685,133544.050
-393.648,133484.050
-418.249,133129.050
-505.650,133079.550
-532.763,133064.400
-532.308,133007.400
-540.962,132822.400
-592.630,132858.950
-587.476,132745.550
-596.303,132765.450
-577.631,132453.450
-698.373,132001.950
-878.315,132169.450
-808.335,132154.450
-817.593,132124.450
-826.363,132104.450
-844.424,132144.450
-854.176,132079.450
-862.718,132096.950
-855.269,132114.950
-848.684,131994.950
-857.284,133229.850
-692.546,133499.850
-615.495,133692.150
-529.961,133743.350
-531.862,133785.350
-531.082,133895.750
-533.353,133955.750
-527.164,134050.750
-505.411,134110.750
-500.710,134125.750
-496.473,134081.250
-530.442,134081.250
-535.199,-558.750
-59.210,-565.750
-56.775,-578.250
-47.016,-548.250
-44.694,-443.250
-44.433,-443.250
-47.939,-291.850
-42.143,-281.850
-45.866,-371.050
-69.951,-241.050
-40.213,-67.050
10.837,82.950
6.897,517.950
30.623,357.950
-2.282,97.950
-16.180,97.100
-17.370,182.100
-13.975,442.100
-9.011,481.100
-15.048,446.400
-21.466,481.400
-19.077,753.900
7.134,747.150
7.735,788.950
11.299,717.700
6.943,778.700
-39.336,1263.700
-30.350,1108.700
-27.582,1118.700
-29.982,1151.200
-27.813,1181.200
-28.278,1176.200
-33.764,1181.200
-36.576,1181.200
-33.086,1185.200
-29.235,1284.200
-14.318,2228.000
209.315,1853.000
181.976,1655.850
185.850,1630.850
181.245,1651.850
187.430,2151.150
260.365,2261.150
267.662,2221.150
264.254,2061.150
249.442,2066.150
251.983,2006.150
244.871,1945.150
222.591,1955.150
222.219,1535.150
-6.145,1410.150
-4.812,1336.150
-15.141,1391.150
-5.782,1361.150
-13.154,1227.950
-31.730,1257.950
-29.164,1303.050
-32.117,1163.050
-35.342,945.550
-35.686,833.050
-58.144,643.050
-73.450,803.050
-70.434,643.050
-109.949,638.050
-111.790,658.050
-104.283,678.550
-105.199,690.900
-107.862,715.900
-101.445,500.900
-120.479,529.300
-115.868,551.800
-115.183,106.800
-239.278,-338.200
-323.731,-320.700
-317.617,-345.700
-324.975,-380.700
-330.482,-405.700
-334.642,-395.700
-337.364,-393.200
-333.767,-395.200
-330.798,-489.700
-337.590,-1772.200
-379.870,-1477.200
-347.307,-1525.200
-353.225,-1500.200
-353.010,-2215.550
-422.589,-2225.550
-420.982,-2185.550
-416.355,-2033.050
-400.914,-2078.050
-407.688,-2058.050
-411.849,-2043.050
-409.000,-2238.050
-561.031,-2188.050
-561.897,-2131.800
-548.647,-2201.800
-553.195,-2201.800
-552.970,-2189.300
-556.433,-2084.300
-554.510,-2011.500
-542.427,-1908.550
-523.540,-1943.550
-530.672,-1868.850
-520.354,-1773.850
-522.166,-1668.850
-517.553,-1690.500
-518.594,-1415.500
-505.743,-1480.500
-516.690,-1485.500
-512.688,-1585.500
-527.096,-1575.500
-527.381,-1610.500
-528.196,-1490.500
-523.494,-1520.500
-524.791,-1503.900
-517.897,-1460.150
-511.408,-450.150
-448.386,-230.150
-463.727,-145.150
-449.770,-95.150
-447.149,-89.650
-450.487,-79.650
-450.559,-79.650
-451.764,-87.150
-450.924,247.850
-413.038,571.600
-394.677,549.400
-382.695,718.400
-366.454,703.400
-368.019,685.400
-368.222,1146.800
-347.218,1236.800
-326.532,1223.800
-326.047,1158.800
-326.710,1198.050
-325.289,1393.550
-309.531,1498.550
-286.246,1508.550
-285.542,1423.550
-289.463,1468.550
-286.577,1459.800
-287.399,1504.800
-284.363,1489.800
-284.782,1429.200
